Source,Target,weight
tabbyday,tabbyday,"@DailyCaller He isn't dumb enough to take an untested, experimental mRNA vaccine. 

TN Nurse Faints After Taking Vaccine (LIVE ON AIR) https://t.co/2wiNGhb5p7 via 
@YouTube
 
#Vaccineinjury
#COVID19"
QueenofStars13,QueenofStars13,@HawleyMO With a 99.9% recovery rate HCQ Cures CovID so no need to be #VaXxed. #HCQ should be available over the counter
RomaAntiquaUnus,RomaAntiquaUnus,"𝑹𝑶𝑴𝑨 𝑨𝑵𝑻𝑰𝑸𝑼𝑨 𝑼𝑵𝑼𝑺 ⚖️ 𝑽𝑬𝑹𝑰𝑻𝑨𝑺 ~ 𝑨𝑬𝑸𝑼𝑰𝑻𝑨𝑺

#RomaAntiquaUnus #VeritasAequitas #StopTheVax 

These #Vaccine's need to be STOPPED! #VAXXED https://t.co/nt44JUm5Eq"
ECandella,ECandella,@RyszPankiewicz #Quack does roads shows at #VAXXED screenings with the #AntiVaxxScamClan
Nana21712443,Nana21712443,"@LotusOak2 Do not vaccinate your children! Spare yourself and your child the horrible results of being vaccine injured!
How many parents have babies that won't stop crying?? Watch the documentary #VAXXED study @DrJudyAMikovitsc @RobertKennedyJr 🤷
Save your babies, toddlers and teenager's👇"
CaraMastrey,CaraMastrey,"@rcunknown47 @RealCandaceO The working class, elderly, disabled will forced to get #Vaxxed. Covid vax sterilizes = social distancing, population control."
CaraMastrey,CaraMastrey,"@AC360 @drsanjaygupta More die from cancer. 
Where's the cure? 

No to getting #Vaxxed thanks"
FreedomSpartan,FreedomSpartan,@JoeBiden Good . Be the president for #vaccine #injured #Americans by #Repealingthe1986 #vaccineinjury act. #Restore #liability for #vaccine #manufacturers. That’s how we #heal. That’s how we #bridge a #divide and create #trust. 🇺🇸
rfgph,rfgph,"@eliowa @uihealthcare Natural Selection Science at its finest. 

Go for it Dude!! 🤣

Can't fix STUPID. 

Actually seems #CCP #Pfizer is fixing STUPID as we speak.  

You can have the #VAXXED shares intended for #WeThePeople https://t.co/tUkwIip0Pc"
RomaAntiquaUnus,RomaAntiquaUnus,"@Controla_Virus 𝑹𝑶𝑴𝑨 𝑨𝑵𝑻𝑰𝑸𝑼𝑨 𝑼𝑵𝑼𝑺 ⚖️ 𝑽𝑬𝑹𝑰𝑻𝑨𝑺 ~ 𝑨𝑬𝑸𝑼𝑰𝑻𝑨𝑺

#RomaAntiquaUnus #VeritasAequitas #NotHappening 

That's a negative Midnight Rider &amp; @seanspicer Says NO!

#JustSayNo #NoVax #NoVaccine #NoVaccines #NotGonnaDoIt https://t.co/uMwR95W0Uj"
