Source,Target
1340800493770199044,1340636843650506754
1340715980746584064,1340715715473645568
1340715715473645568,1340715557327351809
1340586981361901568,1340445916885622785
1340410542868074499,1340409243262996487
1340394941101584385,1340378181447106562
1340361189411311617,1340348528854364161
1340355661641748480,1340348167997579266
1340347264292827136,1340346278073540610
1339900065767436288,1339841360099037184
1339841360099037184,1339815216780107776
1340024459189575680,1339964294205644801
1341031339982778369,1340013356929859584
1340014247468621824,1340013356929859584
1340131448741871616,1339941480715202562
1340080961862680581,1339941480715202562
1340523882109784064,1340103099944497157
1340103099944497157,1340090687195205634
1340090687195205634,1340089843431432194
1341473908550234112,1341215700942262273
1341215700942262273,1341204182188044288
1341204182188044288,1341195234399674368
1341195234399674368,1341093438142464004
1341093438142464004,1340043296467537924
1340792300574830599,1340043296467537924
1340780015374520323,1340043296467537924
1340058322897133570,1340043296467537924
1339817744695439360,1339815567566499847
1339815567566499847,1339813837835538433
1341751988845887489,1338872945989603330
1341635419780378624,1338872945989603330
1341540907036921857,1338872945989603330
1341488015143788544,1338872945989603330
1341485692271079424,1341480258780979207
1341485318135005186,1341479907302526977
1341480258780979207,1341377893117677568
1341479907302526977,1341377893117677568
1341378115831013378,1341374476144021506
1341377893117677568,1341373514809532417
1341374476144021506,1341370918271143939
1341373514809532417,1341372182761525248
1341372596198273026,1341372182761525248
1341372182761525248,1341370414648471553
1341370918271143939,1341370045792980993
1341370414648471553,1341369734835679234
1341370045792980993,1341340210240610305
1341369734835679234,1341335869278593025
1341340210240610305,1341215648307961857
1341277281914814465,1338872945989603330
1341234862192287744,1338872945989603330
1341215648307961857,1341200736319889409
1341196559317413892,1338872945989603330
1341184709875826688,1338872945989603330
1341170997395922950,1341033122666786818
1341170755053219840,1338872945989603330
1341160417192796160,1338872945989603330
1341159528029630468,1338872945989603330
1341159231026733057,1338872945989603330
1341156845617094656,1338872945989603330
1341155957271871491,1338872945989603330
1341153063629893633,1341137329763696641
1341146986871975939,1338872945989603330
1341137329763696641,1341136192943706112
1341136192943706112,1341086648113770500
1341128250131660802,1338872945989603330
1341119568207638528,1341118815699136513
1341118815699136513,1341118283676852224
1341118283676852224,1341116750952353794
1341118004000665600,1341104487210086403
1341116750952353794,1338872945989603330
1341104487210086403,1341103485434163200
1341103485434163200,1341077497362968576
1341096461145165828,1338872945989603330
1341077497362968576,1341054411024568322
1341067301882355718,1338872945989603330
1341062788911906819,1338872945989603330
1341054411024568322,1340888462409535490
1341053624416407558,1340969051015802880
1341035808103477248,1338872945989603330
1341033122666786818,1338872945989603330
1341014614071332864,1338872945989603330
1340969424296284160,1338872945989603330
1340969051015802880,1340887949009952770
1340967223066841088,1338872945989603330
1340929444060356608,1338872945989603330
1340928751736037376,1338872945989603330
1340915148005859329,1338872945989603330
1340907951121342464,1338872945989603330
1340889007358685185,1340888462409535490
1340875869141790720,1340875678619676673
1340855490390106115,1338872945989603330
1340853040673398784,1338872945989603330
1339955551992766467,1339926516327714816
1339759736699367425,1339757848868360192
1341307886488743942,1341185777645064194
1341185777645064194,1339876177851404290
1340406998953721857,1339740797705568257
1340153955595268096,1339740797705568257
1340101845075828737,1339740797705568257
1340080835920334850,1339740797705568257
1340068464518602753,1340067410066497541
1340067410066497541,1339831921711349761
1340061831457599498,1339740797705568257
1340040844011655168,1339740797705568257
1340038469922545670,1339740797705568257
1340030164835598336,1340011525071888384
1340029774119510019,1339740797705568257
