Source,Target,weight
FranMFarber,marklevinshow,2
Gwendol00414949,realDonaldTrump,2
Gwg1955,Gwg1955,2
Gwg1955,NewHampJournal,2
_kevin_dela,LukeGladman,2
_____oo_____,realDonaldTrump,2
marionbiss,Quicktake,2
baixumin,realDonaldTrump,2
BonBee81,CNBCtech,2
smoochkin48,KelseyR30329626,2
Liz63186604,richardursomd,2
Liz63186604,Liz63186604,2
Bobhackney01,realDonaldTrump,2
FordPrefect747,JohnRMoffitt,2
LittleNelleChan,TheHiddenJewell,2
Lisatweets444,CryptoBull2020,2
Zhuxudong5,realDonaldTrump,2
Colony14,AndrewYang,2
Cynthia88322059,TrustJesusAlone,2
SamCaudell,and_kell,2
DaveForTexas,BusyDrT,2
SimonC43174444,RaphaelBurner,2
SimonC43174444,SimonC43174444,2
SunshineTheGrey,ashamed_lee,2
connormommy2005,NeilFlochMD,2
KelseyR30329626,smoochkin48,2
50Bender,realDonaldTrump,2
AkAMasterPiece,DebarringtonH,2
AkAMasterPiece,AkAMasterPiece,2
Sirisha69572042,Scimitar_SS,2
gz4m7q,GeoRebekah,2
carnivalist2,hewitson10,2
Tom_Samperi,Tom_Samperi,2
SufficientlyWh1,LouisSolomon8,2
handmadekathy,thereal_truther,2
TheHiddenJewell,ABC,2
TomBurke21,tristantheblerd,2
AgentOr71730023,EmilahP,2
TheHiddenJewell,CNBCtech,2
TheHiddenJewell,PostOpinions,2
mslove_TLB,DrMadej,2
6cherries,FreedomFlowers4,2
Milena52769243,KentTiger61,2
Jantch2,truthisfreedo18,2
JamesB007s,DrMadej,2
jimshoe5252,marklevinshow,2
troothmonstah,CathyCathyFox,2
30Kelsc,and_kell,2
TrumpKennels,jonathanstea,2
Seven77Ryn,HowleyReporter,2
TrumpCat18,ProudYangGang,2
Morning03761432,Janemecom,2
p8_r10,IceTheNiceGuy,2
p8_r10,AndrewYang,2
DanielleBloeme,realDonaldTrump,2
truthisfreedo18,Jantch2,2
KezaShea,AnGobanSaor,2
jmrstocx,realDonaldTrump,2
AlisonBlunt,simondolan,2
Dantomlom2,MrCrazee,2
TerryWe41205496,KimonaQ,2
xecinternet,sudha_lakshmi,2
DarrenPlymouth,MrCrazee,2
twitttybird,JosephJFlynn1,2
Jogramma152,FreedomFlowers4,2
KentTiger61,AnalogJacob,2
Albusaurifodin1,realDonaldTrump,2
vegalyra12,realDonaldTrump,2
wkb127,renee,2
Todd24ever,realDonaldTrump,2
wisenaive,wisenaive,2
Steve4Trump2020,Isabel1170,2
Spinky363,DrDanilychevMD,2
EBT76,FreedomFlowers4,2
MlLLlONARIA,MlLLlONARIA,2
monika137131,CCDHate,2
Natuq2,TeamTrump,2
AalonaMichaels,whizkids,2
horch42,DrMadej,2
hewitson10,keryn_1,2
AalonaMichaels,WFuentes24,2
c_r_5,ThomasFlagg1621,2
jan_aszman,marklevinshow,2
A_AL900,sallambo7,2
Themrbishop,GeoRebekah,2
TheReaper6664,k_klo224743370,2
DerryCraic,SeanGoulding2,2
nopetousername,richardursomd,2
hm_mafia,ChrisWickNews,2
Napoleon1796,DanVanRN,2
Dugler1974,lori_socal,2
jasiel11111,MyFellowAmeric1,2
NefertitiTyche,DrMadej,2
AGuyFromCA1,eribeck2016,2
wakeup_u2,gtconway3d,2
Adolf91838389,realDonaldTrump,2
wisenaive,TheAtlantic,2
mnboss1,GeoRebekah,2
williamgibbard,DebarringtonH,2
Titch16487899,k_klo224743370,2
DianeS20024312,DrMadej,2
DianeRo777,DrMadej,2
KazNan3,simondolan,2
jerseygurl_23,jerseygurl_23,2
SojournerQuest1,DrMadej,2
willemhilton7,chazlouaz,2
mrisue44241721,realDonaldTrump,2
msbahari,khalidalbaih,2
Nelly1899,k_klo224743370,2
DCPOSTNEWS,Jerusalem_Post,2
Ddunk16,simondolan,2
Timothy_hedberg,nypost,2
ERAM1776,FreedomFlowers4,2
EOTStormPodcast,EOTStormPodcast,2
coffee2sugars,CCDHate,2
jaine_ross,LightVision777,2
is_issie,spaceLem,2
JamieWellsBooks,DebarringtonH,2
MyFellowAmeric1,jasiel11111,2
Don45USA,DrMadej,2
USlasher,masuruha2,2
JSDH_S,OliviaP28146643,2
AngeliFrankie,ChrisWickNews,2
tigerwoodstock,KimonaQ,2
JSDH_S,k_klo224743370,2
UNGODLYMONA,MlLLlONARIA,2
AngelPilotOne,Lis17m,2
Angel2Falken,CryptoBull2020,2
NursesTexas,DrMadej,2
NthnGd4,KatLKing_,2
Johnmac66412394,BusyDrT,2
JohnWalshOnline,realDonaldTrump,2
nbd2389,larabond1,2
Scimitar_SS,Avinash_Yadava,2
Scimitar_SS,Scimitar_SS,2
JackRay98517073,Nigel_Farage,2
jonathanstea,Rosewind2007,2
1iskefiyeli_,1iskefiyeli_,2
Truthseeker45,AndrewYang,2
DrDanilychevMD,Starrla1979,2
TDelyfer,realDonaldTrump,2
EmilyWheelhous1,TheRealJoeFrom1,2
AnitaDelia12,AnitaDelia12,2
JDBack1,DigitalChick73,2
theatretechguy,TheHiddenJewell,2
SanctitySKR1111,SanctitySKR1111,2
VRDlCT,traci52426278,2
JFTB3,RozeRage,2
zexpe,zexpe,2
SandyShuze,DrPsychWest,2
JGRAD99,RobbieVdg,2
gazzaisveg,BOOMERVET68,2
zexpe,muka_taulant,2
indyfutures,CovidSerology,2
SandyShuze,SSchrock2461,2
DonaldYears,realDonaldTrump,2
nativechic73,kacy_groves007,2
cryptysteven,BOOMERVET68,2
ObamaIsPres,HerbsandDirt,2
DrDanilychevMD,Nmenon777,2
nativewoodhorse,realDonaldTrump,2
jp_dutch,jp_dutch,2
JohnRMoffitt,FordPrefect747,2
DUVALLLLL,NyetMore45,2
TempResident2,JortsAndCrocs,2
jojoru76,LightVision777,2
SwanSeaFarm,GeoRebekah,2
TeddlesDisFixie,PlatypiPolitics,2
is_issie,LoriAnn_Potter,2
TruthBegetsLife,LotusOak2,2
NormaGay2,eileeniorio,2
SyFyGy1,SyFyGy1,2
AncapMayor,CovidSerology,2
Dameruuu,ChadaChanel,2
TruthBegetsLife,DrMadej,2
AnalogJacob,KentTiger61,2
KjrMolon,CNBCtech,2
EmilahP,AgentOr71730023,2
Andrea_Bacciu,Andrea_Bacciu,2
EmilyWheelhous1,EmilyWheelhous1,2
john_pennycuff,AndrewYang,2
AnalogJacob,CCDHate,2
dionysus64,Quicktake,1
dikos4,CCDHate,1
chienmechant111,realDonaldTrump,1
christopher316x,TeamTrump,1
deviniyer,DrMadej,1
cking64050,TeamTrump,1
chseclipse,chseclipse,1
chronicrelavism,DrMadej,1
devito_kim,BusyDrT,1
ckelly12352,Preciouslindy,1
deswander,KimonaQ,1
dikkinthepuddin,maxthelionx,1
cjo1134,Fol77Sunny,1
digital_slime,WAPFLondon,1
diana38lyn,realDonaldTrump,1
chewitt3,hsgibbons1,1
chfgarner,gtconway3d,1
descolo,JosephJFlynn1,1
deplorableguru,BeNosey,1
chazlouaz,willemhilton7,1
dk74297073,DrMadej,1
deplorablemik11,AndrewYang,1
deralteGaukler,Rosewind2007,1
clay_at_play,RealCandaceO,1
diomyyunsa,CCDHate,1
chefgwen,gtconway3d,1
deshilde,realDonaldTrump,1
cl_nebel,ZubyMusic,1
chrisvrkos,TheAtlantic,1
chekree,Scimitar_SS,1
cheryldewo,ABC,1
deskold,masuruha2,1
claudiatanner,simondolan,1
clarejames10,gtconway3d,1
cheseg,GeoRebekah,1
djpublius,and_kell,1
cjkcomeshome,brianlilley,1
ciscowski,CryptoBull2020,1
chinesejimi,and_kell,1
diane_kirschner,Nypatriot1978,1
djb1234567890,k_klo224743370,1
djBarren,DrMadej,1
dj56783074,realDonaldTrump,1
discangirl,and_kell,1
dgjcameron,gtconway3d,1
diane_marshd3,PascalFrank1991,1
divine_count,T1000Jay,1
chump24042266,ZubyMusic,1
christopher316x,FalconFord7683,1
christineadele_,realDonaldTrump,1
civilianpatrio1,GeoRebekah,1
dhathorn4895,FreedomFlowers4,1
chrisbricy,realDonaldTrump,1
diane43428911,ZubyMusic,1
chxrrychainsxw,AndrewYang,1
chunkyrdrn,simondolan,1
chump24042266,trajanfilipov,1
chrisjenkinson2,simondolan,1
christi47373737,DrMadej,1
dianabechini93,AndrewYang,1
dipaeinsiak,DrMadej,1
ciciban,DrMadej,1
christy07688339,masuruha2,1
cinematiccomics,TomDorwart1,1
dewald_coning,CathyCathyFox,1
djforreal57,ABC,1
djdeivid__,ChrisWickNews,1
dfhepburn,Matdredalia,1
digi11111,PaulReveresHat,1
chtucker18,AndrewYang,1
chloe73306705,JosephJFlynn1,1
deplorable1111,CryptoBull2020,1
chloe_morganxo,ChrisWickNews,1
dgalan0577,nberlat,1
dgibbo100,k_klo224743370,1
diceperson,ChrisWickNews,1
djblessings,Preciouslindy,1
chuchovaca,realDonaldTrump,1
dibe1950,DebarringtonH,1
djb1234567890,tolstoyinout,1
dianrandles,richardursomd,1
chris10gibson,ChrisWickNews,1
cinematiccomics,htiekkeith1234,1
deplorable1111,JosephJFlynn1,1
colincovert,gtconway3d,1
denzillewis333,simondolan,1
craigsfire,Joshuafairchild,1
craftuality,ZubyMusic,1
dant66,richardursomd,1
danplainview3,realDonaldTrump,1
danielpiace,TeamTrump,1
daniele19921,edward_farina,1
craftykindagirl,RealCandaceO,1
crayallred,Quicktake,1
cristina_lee_,KimonaQ,1
crisco2377,Nigel_Farage,1
dandeson64,JosephJFlynn1,1
dandaman4us,eileeniorio,1
cristens,thejohnbronson,1
cristia81230790,alexstein99,1
danadennis,GeoRebekah,1
craftuality,PhilipVierhus,1
cpchandme,CryptoLoki,1
cpchandme,CensorMoral,1
darjo1776,JazmineJeep,1
cowdeeva,eileeniorio,1
cowdeeva,BusyDrT,1
covid19_experts,BallouxFrancois,1
countrostrov,KimonaQ,1
count_01,RachelNotley,1
cosmotopper6,ZubyMusic,1
cory2603,MrCrazee,1
darksaber2500,GeoRebekah,1
corruptbritain,ChrisWickNews,1
corron_eva,JosephJFlynn1,1
corkerytj,masuruha2,1
corgiboys,DebarringtonH,1
coralswy,HowleyReporter,1
dammad0,StopNewNormal,1
critica18495985,eileeniorio,1
denver_rose,ABC,1
d1sappy,realDonaldTrump,1
cshin80,FreckledLiberty,1
ctrlmachine,simondolan,1
daffi515,ABC,1
daddytwizz456,AndrewYang,1
d_y_l_a_n_5,ChrisWickNews,1
ctwilken,realDonaldTrump,1
cubsfuture2,Nigel_Farage,1
crlspackler,nypost,1
cynthialeeb3,DrMadej,1
cuethewhiterab1,BriereJudi,1
cult_sun,Nigel_Farage,1
cutterko,JosephJFlynn1,1
cyanfiremusic,CCDHate,1
cyndi7whale,marklevinshow,1
cryptysteven,beejertron5000,1
crypto_popsicle,Nmenon777,1
dailylight6,richardursomd,1
dailyrev,realDonaldTrump,1
dal2860,marklevinshow,1
cry_hue,KimonaQ,1
crunchygardngal,CCDHate,1
crunch_fake,BusyDrT,1
dallasrbaird,DebarringtonH,1
crudometkin,ZubyMusic,1
crsphilly,Preciouslindy,1
crotchnsniff,1972patriot,1
damianstevensuk,maxthelionx,1
damithian13,maxthelionx,1
crosshairsonyou,picphysicians,1
crocque41,CNBCtech,1
crockett199,simondolan,1
dartfrogpaul,AndrewYang,1
coopwiretap,ZubyMusic,1
cooperhouse11,GeoRebekah,1
deanos5150,Misesean1,1
deanos5150,kabluekijones,1
deanos5150,YouAreTheWealth,1
cncpinky,SputnikInt,1
deanos5150,ValhallaBound03,1
coachnolan09,RealCandaceO,1
cocokw1,gtconway3d,1
deanos5150,LordDeyvson,1
dartfrogpaul,set921,1
deanos5150,LilburnLA,1
deanos5150,CrappmanStorse,1
colby767,DebarringtonH,1
de_MontfortStLM,de_MontfortStLM,1
colinb099,MonzelTressica,1
